id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
20W0804;INTERACCIÓN HOMBRE - COMPUTADOR;O;4;;62
20W0805;GERENCIA DE PROYECTO DE SOFTWARE;O;4;;62
20W0806;METODOLOGÍA DE LA INVESTIGACION;O;2;;62
20W0901;PRÁCTICA PRE PORFESIONAL I;O;5;;63
20W0902;ÉTICA PROFESIONAL Y LEGISLACIÓN INFORMÁTICA;O;2;;63
20W0903;INTELIGENCIA ARTIFICIAL;O;4;;63
20W0904;PROYECTO DE TESIS I;O;6;;63
20W0905;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;O;4;;63
20W1001;PRÁCTICA PRE PORFESIONAL II;O;5;;64
20W1002;PROYECTO DE TESIS II;O;6;;64
20W1003;TENDENCIAS EN GESTION EMPRESARIAL;O;3;;64
20W1004;TENDENCIAS EN INGENIERÍA DE SOFTWARE;O;3;;64
20W1005;SEGURIDAD INFORMÁTICA;O;4;;64
20W0E01;DATAWAREHOUSE;E;3;;54
20W0E02;E-BUSSINES;E;3;;54
20W0E03;DISEÑO DE APLICACIONES WEB;E;3;;54
20W0E04;PLANEAMIENTO DE RECURSO EMPRESARIALES;E;3;;54
20W0E05;ORATORIA I;E;3;;54
20W0E06;ORATORIA II;E;3;;54
20W0E07;MÉTODOS FORMALES;E;3;;54
20W0E08;REDES NEURONALES;E;3;;54
20W0E09;ROBÓTICA;E;3;;54
20W0E10;SISTEMAS INTELIGENTES;E;3;;54
20W0E11;INTELIGENCIAS DE NEGOCIOS;E;3;;54
20W0E12;MODELAMIENTO Y SIMULACIÓN;E;3;;54
20W0E13;TEATRO I;E;3;;54
20W0E14;TEATRO II;E;3;;54
20W0E15;MÚSICA;E;3;;54
202W0301;ALGORÍTMICA I;O;4;;67
202W0302;ESTADÍSTICA;O;3;;67
202W0303;FISICA ELÉCTRONICA;O;3;;67
202W0304;INGENIERÍA ECONÓMICA;O;3;;67
202W0305;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;O;3;;67
202W0306;MATEMÁTICA BÁSICA;O;4;;67
202W0307;ORGANIZACIÓN Y ADMINISTRACIÓN;O;3;;67
202W0401;ALGORÍTMICA II;O;4;;68
202W0402;CONTABILIDAD PARA LA GESTIÓN;O;3;;68
202W0403;INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;O;3;;68
202W0404;MATEMÁTICA DISCRETA;O;3;;68
202W0405;PROBABILIDADES;O;3;;68
202W0406;PROCESOS DE SOFTWARE;O;3;;68
202W0407;SISTEMAS DIGITALES;O;3;;68
202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS;O;3;;69
202W0502;ARQUITECTURA DE COMPUTADORAS;O;3;;69
202W0503;CALIDAD DE SOFTWARE;O;3;;69
202W0504;COMPUTACIÓN VISUAL;O;3;;69
202W0505;ESTRUCTURA DE DATOS;O;4;;69
202W0506;ECONOMÍA PARA LA GESTIÓN;O;3;;69
202W0507;INGENIERÍA DE REQUISITOS;O;4;;69
202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;O;3;;70
202W0602;BASE DE DATOS I;O;4;;70
202W0603;DISEÑO DE SOFTWARE;O;4;;70
202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE;O;3;;70
202W0605;GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE;O;3;;70
202W0606;INTERACCIÓN HOMBRE COMPUTADOR;O;3;;70
202W0607;SISTEMAS OPERATIVOS;O;3;;70
202W0701;ARQUITECTURA DE SOFTWARE;O;4;;71
202W0702;BASE DE DATOS II;O;4;;71
202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD;O;3;;71
202W0704;GESTIÓN DE PROYECTO DE SOFTWARE;O;3;;71
202W0705;INTELIGENCIA ARTIFICIAL;O;3;;71
202W0706;MÉTODOS FORMALES PARA PRUEBAS;O;3;;71
202W0707;REDES Y TRANSMISIÓN DE DATOS;O;3;;71
202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;O;3;;72
202W0802;INTELIGENCIA DE NEGOCIOS;O;3;;72
202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;O;2;;72
202W0804;MINERÍA DE DATOS;O;3;;72
202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;O;3;;72
202W0806;SEGURIDAD DEL SOFTWARE;O;3;;72
