id_estudiante;id_escuela;id_plan;anio_ingreso
22200031;1;3;22
16200139;1;2;16
21200104;1;3;21
25200052;2;8;25
21200142;1;3;21
22200223;1;3;22
21200211;2;7;21
19200089;2;7;19
23200196;1;3;23
24200023;1;3;24
25200108;1;3;25
24200024;1;3;24
23200282;2;7;23
23200194;1;3;23
22200308;2;7;22
22200161;1;3;22
21200095;1;3;21
23200197;1;3;23
19200327;2;7;19
17200126;1;2;17
21200148;1;3;21
24200148;1;3;24
25200160;2;8;25
23200039;1;3;23
17200180;1;2;17
22200169;1;3;22
21200093;1;3;21
23200323;1;3;23
22200060;1;3;22
22200174;1;3;22
21200275;2;7;21
24200116;1;3;24
20200074;2;7;20
18200282;2;6;18
25200027;1;3;25
21200112;1;3;21
23200284;2;7;23
25200133;1;3;25
19200212;1;3;19
21200129;1;3;21
22200218;1;3;22
25200109;1;3;25
21200029;2;7;21
21200090;1;3;21
21200135;1;3;21
22200208;1;3;22
25200110;1;3;25
20200056;2;7;20
20200278;2;7;20
24200084;2;8;24
20130037;2;7;20
21200269;2;7;21
21200300;2;7;21
19200261;2;7;19
24200117;1;3;24
25200071;3;9;25
22200120;1;3;22
23200040;1;3;23
19200213;1;3;19
22200032;1;3;22
17200291;2;6;17
22200214;1;3;22
21200012;1;3;21
23200108;2;7;23
23200286;2;7;23
25200028;1;3;25
20200025;2;7;20
23200198;1;3;23
22200179;1;3;22
20200194;1;3;20
21200055;1;3;21
21200069;1;3;21
24200118;1;3;24
25200138;1;3;25
22200229;2;7;22
23200287;2;7;23
23200041;1;3;23
24200082;1;3;24
24200136;1;3;24
21200244;2;7;21
22200256;2;7;22
24200025;1;3;24
22200254;2;7;22
22200115;1;3;22
22200141;1;3;22
24200026;1;3;24
21200242;2;7;21
21200182;1;3;21
24200061;2;8;24
21200013;1;3;21
21200296;2;7;21
22200235;2;7;22
23200199;1;3;23
22200315;2;7;22
24200119;1;3;24
25200072;3;9;25
19200315;2;7;19
22200095;2;7;22
22200177;1;3;22
21200258;2;7;21
21200089;1;3;21
20200080;2;7;20
23200200;1;3;23
20200196;1;3;20
23200042;1;3;23
24200083;1;3;24
22200033;1;3;22
23200043;1;3;23
23200044;1;3;23
21200014;1;3;21
18200175;1;2;18
21200084;1;3;21
22200162;1;3;22
23200045;1;3;23
24200027;1;3;24
12200197;2;5;12
20200279;2;7;20
20200280;2;7;20
21200193;2;7;21
25200053;2;8;25
25200183;2;8;25
20200232;1;3;20
22200034;1;3;22
21200174;1;3;21
25200111;1;3;25
23200109;2;7;23
21200036;1;3;21
22200215;1;3;22
21200075;1;3;21
23200046;1;3;23
23200288;2;7;23
25200029;1;3;25
19200189;1;3;19
22200035;1;3;22
19200323;2;7;19
23200110;2;7;23
23200289;2;7;23
13200174;1;1;13
22200196;1;3;22
24200202;3;9;24
22200036;1;3;22
25200112;1;3;25
25200161;2;8;25
19200175;1;3;19
24200167;2;8;24
21200015;1;3;21
21200072;1;3;21
21200065;1;3;21
23200047;1;3;23
21200060;1;3;21
22200037;1;3;22
24200137;1;3;24
24200028;1;3;24
25200170;2;8;25
23200127;1;3;23
24200120;1;3;24
24200029;1;3;24
20200115;1;3;20
22200300;2;7;22
23200290;2;7;23
18200066;1;2;18
24200030;1;3;24
25200113;1;3;25
25200114;1;3;25
20200200;1;3;20
22170245;1;3;22
21200247;2;7;21
21200081;1;3;21
23200201;1;3;23
22200097;2;7;22
24200031;1;3;24
10200123;1;1;10
20200008;1;3;20
22200187;1;3;22
19200290;2;7;19
5200100;1;3;52
23200048;1;3;23
21200030;2;7;21
13200175;1;1;13
14200034;1;1;14
14200035;1;1;14
18200177;1;2;18
18200178;1;2;18
19200040;1;3;19
21200016;1;3;21
21200091;1;3;21
21200113;1;3;21
21200163;1;3;21
22200038;1;3;22
22200119;1;3;22
22200137;1;3;22
23200049;1;3;23
23200050;1;3;23
23200051;1;3;23
23200202;1;3;23
23200324;1;3;23
24200032;1;3;24
24200033;1;3;24
24200121;1;3;24
25200115;1;3;25
17200297;2;6;17
21200205;2;7;21
22200296;2;7;22
23200291;2;7;23
23200292;2;7;23
24200076;3;9;24
25200199;3;9;25
21200094;1;3;21
18200286;2;6;18
21200198;2;7;21
21200216;2;7;21
22200228;2;7;22
23200293;2;7;23
23200294;2;7;23
23200296;2;7;23
17200189;1;2;17
19200162;1;3;19
21200160;1;3;21
22200216;1;3;22
23200052;1;3;23
16200229;2;6;16
21200235;2;7;21
21200297;2;7;21
23200111;2;7;23
23200335;2;7;23
24200203;3;9;24
25200073;3;9;25
23200297;2;7;23
24200062;2;8;24
16200183;1;2;16
22200168;1;3;22
19200226;1;3;19
21200138;1;3;21
21200157;1;3;21
21200231;2;7;21
22200297;2;7;22
24200168;2;8;24
19200283;2;7;19
24200169;2;8;24
22200200;1;3;22
25200030;1;3;25
22200276;2;7;22
23200203;1;3;23
24200122;1;3;24
25200116;1;3;25
21200234;2;7;21
20200283;2;7;20
21200054;1;3;21
22200134;1;3;22
20200284;2;7;20
23200298;2;7;23
23200299;2;7;23
24200063;2;8;24
25200117;1;3;25
20200285;2;7;20
17200034;1;2;17
20130152;1;3;20
20200205;1;3;20
21200191;1;3;21
22200138;1;3;22
22200204;1;3;22
23200054;1;3;23
23200204;1;3;23
25200118;1;3;25
24200064;2;8;24
24200170;2;8;24
24200180;2;8;24
24200204;3;9;24
15200148;1;2;15
20200117;1;3;20
21200017;1;3;21
21200042;1;3;21
22200061;1;3;22
22200150;1;3;22
23200055;1;3;23
23200205;1;3;23
23200206;1;3;23
24200123;1;3;24
25200031;1;3;25
18200318;2;6;18
19200309;2;7;19
20200014;2;7;20
20200287;2;7;20
21200031;2;7;21
21200213;2;7;21
21200240;2;7;21
22200239;2;7;22
22200261;2;7;22
22200273;2;7;22
23200112;2;7;23
24200065;2;8;24
24200187;2;8;24
24200191;2;8;24
25200162;2;8;25
24200213;3;9;24
24200125;1;3;24
22200040;1;3;22
22200098;2;7;22
22200319;2;7;22
19200296;2;7;19
17200301;2;6;17
20200208;1;3;20
22200065;1;3;22
25200032;1;3;25
19200101;2;7;19
21200246;2;7;21
23200300;2;7;23
22200143;1;3;22
22200180;1;3;22
23200207;1;3;23
25200119;1;3;25
23200301;2;7;23
23200302;2;7;23
21200155;1;3;21
22200267;2;7;22
22200294;2;7;22
25200163;2;8;25
21200037;1;3;21
21200125;1;3;21
21200133;1;3;21
25200033;1;3;25
18200292;2;6;18
21200204;2;7;21
25200164;2;8;25
25200200;3;9;25
19200044;1;3;19
21200100;1;3;21
